일련번호,관리_건축물대장_PK,전유_공용_구분_코드,주_부속_구분_코드,층_번호_명,구조_코드,기타_구조,주_용도_코드,기타_용도,면적
77428429,10891188334,1,0,15층,21,철근콘크리트조,02001,아파트,85.000000000
77428430,10891188334,2,0,지하층,21,철근콘크리트조,02005,지하대피소,7.557000000
77428431,10891188334,2,0,15층,21,철근콘크리트조,02001,복도.계단.현관,11.616000000
77428432,10891188334,1,1,1층,19,조적조,02005,경비실,0.092000000
77428433,10891188334,2,1,지하.1층,21,철근콘크리트조,02005,기계실,1.231000000
77428434,10891188334,2,1,1층.2층,21,철근콘크리트조,02006,노인정.관리실,0.406000000
77428435,10891188334,2,1,지하층,21,철근콘크리트조,02005,지하주차장,9.522000000
10349349,10891188335,1,0,11층,21,철근콘크리트조,02001,아파트,85.000000000
10349350,10891188335,2,0,지하층,21,철근콘크리트조,02005,지하대피소,7.557000000
10349351,10891188335,2,0,11층,21,철근콘크리트조,02001,복도.계단.현관,11.616000000
10349361,10891188335,1,1,1층,19,조적조,02005,경비실,0.092000000
10349362,10891188335,2,1,지하.1층,21,철근콘크리트조,02005,기계실,1.231000000
10349363,10891188335,2,1,1층.2층,21,철근콘크리트조,02006,노인정.관리실,0.406000000
10349364,10891188335,2,1,지하층,21,철근콘크리트조,02005,지하주차장,9.522000000
78374090,10891188336,1,0,12층,21,철근콘크리트조,02001,아파트,85.000000000
78374091,10891188336,2,0,지하층,21,철근콘크리트조,02005,지하대피소,7.557000000
78374092,10891188336,2,0,12층,21,철근콘크리트조,02001,복도.계단.현관,11.616000000
78374093,10891188336,1,1,1층,19,조적조,02005,경비실,0.092000000
78374094,10891188336,2,1,지하.1층,21,철근콘크리트조,02005,기계실,1.231000000
78374095,10891188336,2,1,1층.2층,21,철근콘크리트조,02006,노인정.관리실,0.406000000
78374096,10891188336,2,1,지하층,21,철근콘크리트조,02005,지하주차장,9.522000000
3954412,10891188337,1,0,12층,21,철근콘크리트조,02001,아파트,85.000000000
3954413,10891188337,2,0,지하층,21,철근콘크리트조,02005,지하대피소,7.557000000
3954414,10891188337,2,0,12층,21,철근콘크리트조,02001,복도.계단.현관,11.616000000
3954415,10891188337,1,1,1층,19,조적조,02005,경비실,0.092000000
3954416,10891188337,2,1,지하.1층,21,철근콘크리트조,02005,기계실,1.231000000
3954417,10891188337,2,1,1층.2층,21,철근콘크리트조,02006,노인정.관리실,0.406000000
3954418,10891188337,2,1,지하층,21,철근콘크리트조,02005,지하주차장,9.522000000
105301291,10891188338,1,0,12층,21,철근콘크리트조,02001,아파트,85.000000000
105301292,10891188338,2,0,지하층,21,철근콘크리트조,02005,지하대피소,7.557000000
105301293,10891188338,2,0,12층,21,철근콘크리트조,02001,복도.계단.현관,11.616000000
105301294,10891188338,1,1,1층,19,조적조,02005,경비실,0.092000000
105301295,10891188338,2,1,지하.1층,21,철근콘크리트조,02005,기계실,1.231000000
105301296,10891188338,2,1,1층.2층,21,철근콘크리트조,02006,노인정.관리실,0.406000000
105301297,10891188338,2,1,지하층,21,철근콘크리트조,02005,지하주차장,9.522000000
4440074,10891188339,1,0,12층,21,철근콘크리트조,02001,아파트,85.000000000
4440075,10891188339,2,0,지하층,21,철근콘크리트조,02005,지하대피소,7.557000000
4440076,10891188339,2,0,12층,21,철근콘크리트조,02001,복도.계단.현관,11.616000000
4440077,10891188339,1,1,1층,19,조적조,02005,경비실,0.092000000
4440078,10891188339,2,1,지하.1층,21,철근콘크리트조,02005,기계실,1.231000000
4440079,10891188339,2,1,1층.2층,21,철근콘크리트조,02006,노인정.관리실,0.406000000
4440080,10891188339,2,1,지하층,21,철근콘크리트조,02005,지하주차장,9.522000000
57436689,10891188340,1,0,12층,21,철근콘크리트조,02001,아파트,85.000000000
