계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
201501,1076,28,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,316.5100,31190.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1077,28,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,316.5100,31190.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1078,14,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3000,92.2600,30935.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1079,12,2088,1**,집합,판교로,근린상업,공장,25m이상,298.2000,184.1900,60800.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1080,27,2088,1**,집합,판교로,근린상업,공장,25m이상,301.8200,783.9300,69300.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1081,14,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,212.1200,30690.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1082,14,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,212.1200,30690.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1083,23,2088,1**,집합,판교로,근린상업,공장,25m이상,150.9100,310.9300,31100.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1084,28,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3000,316.5100,31190.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1085,14,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,92.2600,30935.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201501,1086,14,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,91.5300,30690.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201502,920,02,2088,1**,집합,판교로,근린상업,공장,25m이상,33.1800,27.3200,10700.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201502,921,16,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,213.8200,30935.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201502,922,25,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,309.7100,31500.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201502,923,16,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,213.8200,30935.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201503,1382,02,2089,1**,집합,성남대로172번길,중심상업,자동차 관련시설,25m미만,38.7400,6.1500,500.0000,2,지분,,-,,경기도 성남시분당구 금곡동,4113511100
201504,1369,03,2088,1**,집합,판교로,근린상업,공장,25m이상,298.2000,400.9900,62000.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201504,1370,08,2088,1**,집합,판교로,근린상업,창고시설,25m이상,54.9500,35.6700,7900.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201504,1371,14,2090,1**,집합,성남대로43번길,일반상업,창고시설,25m이상,32.2000,6.0900,600.0000,,지분,,-,,경기도 성남시분당구 구미동,4113511400
201505,1110,22,2088,1**,집합,판교로,근린상업,공장,25m이상,147.6100,382.1800,33400.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201506,1319,24,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,92.8500,32480.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201506,1320,30,2088,1**,집합,판교로,근린상업,공장,25m이상,150.0100,201.7200,33340.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201506,1321,22,2088,1**,집합,판교로,근린상업,창고시설,25m이상,159.8500,414.3100,24200.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201506,1322,24,2088,1**,집합,판교로,근린상업,공장,25m이상,300.6100,185.7000,63752.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201507,1348,07,2088,1**,집합,판교로,근린상업,공장,25m이상,148.3600,199.4700,34350.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201507,1349,07,2088,1**,집합,판교로,근린상업,공장,25m이상,148.3600,199.4700,34350.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201508,1038,17,2088,1**,집합,판교로,근린상업,공장,25m이상,150.9100,96.7600,31100.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201508,1039,17,2088,1**,집합,판교로,근린상업,공장,25m이상,150.9100,96.7600,31100.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201509,990,11,2088,1**,집합,판교로,근린상업,공장,25m이상,150.9100,98.7200,33382.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201509,991,30,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,96.7600,31340.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201509,992,30,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,96.7600,31340.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201510,1155,07,2088,1**,집합,판교로,근린상업,공장,25m이상,301.8200,186.4400,68500.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201510,1156,26,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,97.5400,32200.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201510,1157,28,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,92.1200,30000.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201510,1158,28,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,92.1200,30000.0000,,,,-,,경기도 성남시분당구 야탑동,4113510700
201510,1159,20,2089,1**,집합,성남대로172번길,중심상업,자동차 관련시설,25m미만,35.2900,5.6000,500.0000,,지분,,-,,경기도 성남시분당구 금곡동,4113511100
