계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
201501,5866,30,2084,*,집합,황새울로258번길,중심상업,제2종근린생활,25m미만,168.0000,0.0000,51000.0000,4,,2004,-,,경기도 성남시분당구 수내동,4113510200
201501,5867,03,2084,2*,집합,내정로173번길,준주거,제1종근린생활,25m미만,44.0000,0.0000,66000.0000,,,1993,-,,경기도 성남시분당구 수내동,4113510200
201501,5868,07,2084,1*,집합,백현로101번길,중심상업,제1종근린생활,25m미만,74.0000,0.0000,29000.0000,3,,2002,-,,경기도 성남시분당구 수내동,4113510200
201501,5869,12,2084,3*,집합,내정로173번길,근린상업,제2종근린생활,25m미만,11.0000,0.0000,2000.0000,-1,지분,1996,-,,경기도 성남시분당구 수내동,4113510200
201501,5870,21,2084,7*,집합,수내로,제3종일반주거,제2종근린생활,25m이상,34.0000,0.0000,25000.0000,,,1992,-,,경기도 성남시분당구 수내동,4113510200
201501,5871,12,2084,3*,집합,내정로173번길,근린상업,제2종근린생활,25m미만,5.0000,0.0000,1000.0000,-1,지분,1996,-,,경기도 성남시분당구 수내동,4113510200
201501,5872,10,2084,*,집합,황새울로258번길,중심상업,제1종근린생활,25m미만,12.0000,0.0000,1800.0000,2,,1995,-,,경기도 성남시분당구 수내동,4113510200
201501,5873,08,2084,3*,집합,내정로165번길,준주거,제2종근린생활,25m미만,35.0000,0.0000,49000.0000,1,,1992,-,,경기도 성남시분당구 수내동,4113510200
201501,5874,15,2084,3*,집합,내정로165번길,준주거,제1종근린생활,25m미만,11.0000,0.0000,3500.0000,1,,1992,-,,경기도 성남시분당구 수내동,4113510200
201501,5875,26,2084,1*,집합,황새울로200번길,중심상업,제2종근린생활,25m미만,42.0000,0.0000,15000.0000,5,,2004,-,,경기도 성남시분당구 수내동,4113510200
201501,5876,20,2084,7*,집합,돌마로356번길,근린상업,교육연구,25m이상,62.0000,0.0000,16800.0000,3,,1992,-,,경기도 성남시분당구 수내동,4113510200
201501,5877,26,2084,1*,집합,황새울로200번길,중심상업,제2종근린생활,25m미만,31.0000,0.0000,14000.0000,5,,2004,-,,경기도 성남시분당구 수내동,4113510200
201501,5878,12,2085,2**,집합,불정로,제2종일반주거,기타,12m미만,28.0000,0.0000,23496.0000,-1,,2005,-,,경기도 성남시분당구 정자동,4113510300
201501,5879,05,2085,1**,집합,정자로,근린상업,교육연구,25m이상,79.0000,0.0000,16000.0000,3,,1995,-,,경기도 성남시분당구 정자동,4113510300
201501,5880,30,2085,1**,집합,정자로,중심상업,업무,25m이상,456.0000,0.0000,728809.0000,,,2013,-,,경기도 성남시분당구 정자동,4113510300
201501,5881,30,2085,1**,집합,정자로,중심상업,업무,25m이상,545.0000,0.0000,871191.0000,,,2013,-,,경기도 성남시분당구 정자동,4113510300
201501,5882,30,2085,1**,집합,정자로,중심상업,업무,25m이상,456.0000,0.0000,695997.0000,,,2013,-,,경기도 성남시분당구 정자동,4113510300
201501,5883,12,2085,2*,집합,정자일로,중심상업,제2종근린생활,25m미만,154.0000,0.0000,35000.0000,,,2005,-,,경기도 성남시분당구 정자동,4113510300
201501,5884,22,2085,1*,집합,정자일로,중심상업,제1종근린생활,25m미만,56.0000,0.0000,132500.0000,1,,2013,-,,경기도 성남시분당구 정자동,4113510300
201501,5885,20,2085,1**,집합,정자일로156번길,중심상업,업무,25m이상,21.0000,0.0000,15000.0000,2,,2006,-,,경기도 성남시분당구 정자동,4113510300
201501,5886,23,2085,6*,집합,느티로,근린상업,업무,25m미만,57.0000,0.0000,12700.0000,,,1994,-,,경기도 성남시분당구 정자동,4113510300
