계약년월,번호,계약일,시군구일련번호,번지,지목,용도지역,도로조건,계약면적,거래금액,지분구분,해제사유발생일,거래구분,거래유형,시군구명,법정동코드
201502,4889,03,3577,산*,임야,보전녹지지역,-,99.0000,3087.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201502,4890,03,3577,산5*,임야,보전녹지지역,8m미만,165.0000,5400.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201502,4891,09,3577,산*,임야,보전녹지지역,-,99.0000,2499.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201502,4892,09,3577,산*,임야,보전녹지지역,-,99.0000,1999.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201502,4893,09,3577,산*,임야,보전녹지지역,-,165.0000,3332.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201502,4894,09,3577,산5*,임야,보전녹지지역,8m미만,99.0000,3600.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201502,4895,06,15777,6*,임야,보전녹지지역,-,49.0000,2540.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4896,06,15777,6*,임야,보전녹지지역,-,33.0000,1600.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4897,04,15777,6*,임야,보전녹지지역,-,33.0000,1700.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4898,06,15777,6*,임야,보전녹지지역,-,99.0000,4998.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4899,13,15777,1**,임야,보전녹지지역,8m미만,330.0000,9310.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4900,04,15777,6*,임야,보전녹지지역,-,99.0000,4989.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4901,02,15777,6*,임야,보전녹지지역,12m미만,861.0000,25480.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4902,09,15777,7*,임야,보전녹지지역,12m미만,13.0000,276.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4903,12,15777,6*,임야,보전녹지지역,-,99.0000,5000.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4904,11,15777,6*,임야,보전녹지지역,-,66.0000,3366.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4905,02,15777,6*,임야,보전녹지지역,-,33.0000,1666.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4906,05,15777,6*,임야,보전녹지지역,-,33.0000,1700.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4907,03,15777,6*,임야,보전녹지지역,-,82.0000,4165.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4908,02,15777,6*,임야,보전녹지지역,-,66.0000,3332.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4909,03,15777,6*,임야,보전녹지지역,-,43.0000,2200.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4910,03,15777,6*,임야,보전녹지지역,-,49.0000,2400.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4911,10,15777,6*,임야,보전녹지지역,-,66.0000,3200.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4912,10,15777,1**,임야,보전녹지지역,8m미만,165.0000,3900.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4913,27,15777,5*,임야,보전녹지지역,-,496.0000,18000.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4914,27,15777,7*,임야,보전녹지지역,-,69.0000,2548.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4915,23,15777,1**,임야,보전녹지지역,8m미만,410.0000,11191.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4916,24,15777,7*,임야,보전녹지지역,12m미만,231.0000,11662.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201502,4917,27,15777,7*,임야,보전녹지지역,8m미만,331.0000,8330.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201501,448,02,3577,산5*,임야,보전녹지지역,8m미만,9273.0000,47686.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,449,02,3577,산*,임야,보전녹지지역,-,3.0000,6.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,22340,15,15777,6*,임야,보전녹지지역,-,66.0000,3200.0000,지분,-,-,,경기도 성남시분당구 석운동,4113511700
201501,22341,15,3577,산6*,임야,보전녹지지역,-,33.0000,870.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,22342,15,15777,6*,전,보전녹지지역,-,7.0000,320.0000,,-,-,,경기도 성남시분당구 석운동,4113511700
201501,22343,15,15777,7*,구거,보전녹지지역,8m미만,3.0000,70.0000,,-,-,,경기도 성남시분당구 석운동,4113511700
201501,22344,15,3577,산5*,임야,보전녹지지역,8m미만,33.0000,1080.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,22345,15,3577,산5*,임야,보전녹지지역,8m미만,265.0000,7840.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,22346,15,3577,산6*,임야,보전녹지지역,-,66.0000,2060.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,40021,26,3577,산5*,임야,보전녹지지역,8m미만,33.0000,980.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,40022,26,3577,산5*,임야,보전녹지지역,8m미만,661.0000,24000.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,40023,26,3577,산5*,임야,보전녹지지역,8m미만,172.0000,5616.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,40024,26,3577,산5*,임야,보전녹지지역,8m미만,165.0000,3900.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,40025,26,3577,산5*,임야,보전녹지지역,8m미만,66.0000,2160.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,40026,26,3577,5**,전,보전녹지지역,-,10.0000,606.0000,,-,-,,경기도 성남시분당구 대장동,4113511600
201501,40027,26,3577,5**,전,보전녹지지역,-,766.0000,46394.0000,,-,-,,경기도 성남시분당구 대장동,4113511600
201501,3144,05,15777,7*,임야,보전녹지지역,-,1322.0000,28000.0000,,-,-,,경기도 성남시분당구 석운동,4113511700
201501,3145,05,3577,산*,임야,보전녹지지역,-,119.0000,2999.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201501,3146,05,3577,산*,임야,보전녹지지역,-,66.0000,1649.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
