계약년월,거래구분,번호,계약일,시군구일련번호,번지,주택유형,도로조건,연면적_x,대지면적,거래금액,월세,건축년도,도로명,해제사유발생일,거래유형,시군구명,법정동코드,실거래ID,관리_건축물대장_PK,대지_면적,연면적_y,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치
202501,1,1311,13,18828,3**,다가구,12m미만,438.0000,231.2000,145000.0000,0.0000,1994,매화로55번길,-,중개거래,경기도 성남시 분당구 야탑동,4113510700,40427,10891124420,230.7,448.66,단독주택,다가구주택(11가구),경기도 성남시 분당구 야탑동 381-9번지,경기도 성남시 분당구 매화로55번길 6-9 (야탑동)
202501,1,1311,13,18828,3**,다가구,12m미만,438.0000,231.2000,145000.0000,0.0000,1994,매화로55번길,-,중개거래,경기도 성남시 분당구 야탑동,4113510700,40427,10891124620,231.0,442.24,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 야탑동 381-5번지,경기도 성남시 분당구 매화로55번길 8 (야탑동)
202501,1,1311,13,18828,3**,다가구,12m미만,438.0000,231.2000,145000.0000,0.0000,1994,매화로55번길,-,중개거래,경기도 성남시 분당구 야탑동,4113510700,40427,10891124708,231.0,444.54,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 야탑동 381-14번지,경기도 성남시 분당구 매화로55번길 6-4 (야탑동)
202501,1,1311,13,18828,3**,다가구,12m미만,438.0000,231.2000,145000.0000,0.0000,1994,매화로55번길,-,중개거래,경기도 성남시 분당구 야탑동,4113510700,40427,10891123199,234.8,415.22,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 야탑동 383-18번지,경기도 성남시 분당구 매화로55번길 5 (야탑동)
202501,1,1311,13,18828,3**,다가구,12m미만,438.0000,231.2000,145000.0000,0.0000,1994,매화로55번길,-,중개거래,경기도 성남시 분당구 야탑동,4113510700,40427,10891125503,231.0,442.24,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 야탑동 381-12번지,경기도 성남시 분당구 매화로55번길 6-10 (야탑동)
202501,1,1311,13,18828,3**,다가구,12m미만,438.0000,231.2000,145000.0000,0.0000,1994,매화로55번길,-,중개거래,경기도 성남시 분당구 야탑동,4113510700,40427,1000000000000005296250,309.9,599.97,단독주택,단독주택(다가구주택),경기도 성남시 분당구 야탑동 381-10번지,경기도 성남시 분당구 매화로55번길 6-11 (야탑동)
202501,1,1311,13,18828,3**,다가구,12m미만,438.0000,231.2000,145000.0000,0.0000,1994,매화로55번길,-,중개거래,경기도 성남시 분당구 야탑동,4113510700,40427,10891122659,230.8,441.15,단독주택,다가구주택(3가구)/대피실,경기도 성남시 분당구 야탑동 381-8번지,경기도 성남시 분당구 매화로55번길 6-7 (야탑동)
202501,1,1311,13,18828,3**,다가구,12m미만,438.0000,231.2000,145000.0000,0.0000,1994,매화로55번길,-,중개거래,경기도 성남시 분당구 야탑동,4113510700,40427,10891122643,231.1,452.48,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 야탑동 381-13번지,경기도 성남시 분당구 매화로55번길 6-8 (야탑동)
202501,1,1311,13,18828,3**,다가구,12m미만,438.0000,231.2000,145000.0000,0.0000,1994,매화로55번길,-,중개거래,경기도 성남시 분당구 야탑동,4113510700,40427,10891121802,231.2,438.0,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 야탑동 381-6번지,경기도 성남시 분당구 매화로55번길 6-3 (야탑동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233371,363.6,432.78,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-33번지,경기도 성남시 분당구 산운로 199 (운중동)
