관리_건축물대장_PK,대지_면적,연면적,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치,시군구명,번지
1000000000000000093758,227.6,237.6,단독주택,단독주택,경기도 성남시 분당구 운중동 880-1번지,경기도 성남시 분당구 하오개로401번길 7 (운중동),경기도 성남시 분당구 운중동,8**
1000000000000000093789,286.8,421.38,단독주택,단독주택,경기도 성남시 분당구 운중동 995-40번지,경기도 성남시 분당구 산운로185번길 38 (운중동),경기도 성남시 분당구 운중동,9**
1000000000000000093843,230.2,286.67,단독주택,단독주택,경기도 성남시 분당구 운중동 1037-7번지,경기도 성남시 분당구 운중로166번길 28-9 (운중동),경기도 성남시 분당구 운중동,1***
1000000000000000104456,1462.2,5667.62,업무시설,업무시설(오피스텔),경기도 성남시 분당구 대장동 614-1번지,경기도 성남시 분당구 판교대장로8길 9 (대장동),경기도 성남시 분당구 대장동,6**
1000000000000000116430,11500.0,92.79,교육연구시설,교육연구시설(미금초등학교),경기도 성남시 분당구 구미동 68번지,경기도 성남시 분당구 미금로 151 (구미동),경기도 성남시 분당구 구미동,6*
1000000000000000116445,11500.0,31.9,교육연구시설,교육연구시설(미금초등학교),경기도 성남시 분당구 구미동 68번지,경기도 성남시 분당구 미금로 151 (구미동),경기도 성남시 분당구 구미동,6*
1000000000000000116446,11500.0,29.7,교육연구시설,교육연구시설(미금초등학교),경기도 성남시 분당구 구미동 68번지,경기도 성남시 분당구 미금로 151 (구미동),경기도 성남시 분당구 구미동,6*
1000000000000000133566,338.5,439.68,단독주택,단독주택,경기도 성남시 분당구 운중동 881-6번지,경기도 성남시 분당구 산운로 30 (운중동),경기도 성남시 분당구 운중동,8**
1000000000000000137022,1575.6,5968.36,업무시설,"업무시설(오피스텔),근린생활시설",경기도 성남시 분당구 대장동 614-2번지,경기도 성남시 분당구 판교대장로8길 15 (대장동),경기도 성남시 분당구 대장동,6**
1000000000000000137095,1451.1,5372.43,업무시설,"업무시설(오피스텔),근린생활시설",경기도 성남시 분당구 대장동 616-2번지,경기도 성남시 분당구 판교대장로8길 16 (대장동),경기도 성남시 분당구 대장동,6**
1000000000000000137153,1106.0,4208.3,업무시설,업무시설(오피스텔),경기도 성남시 분당구 대장동 618번지,경기도 성남시 분당구 판교대장로8길 22 (대장동),경기도 성남시 분당구 대장동,6**
1000000000000000137229,1505.6,5771.58,업무시설,업무시설(오피스텔),경기도 성남시 분당구 대장동 616-1번지,경기도 성남시 분당구 판교대장로8길 10 (대장동),경기도 성남시 분당구 대장동,6**
1000000000000000145358,388.0,153.27,단독주택,단독주택,경기도 성남시 분당구 이매동 43-29번지,경기도 성남시 분당구 방아로 78 (이매동),경기도 성남시 분당구 이매동,4*
1000000000000000145359,388.0,150.33,단독주택,단독주택,경기도 성남시 분당구 이매동 43-29번지,경기도 성남시 분당구 방아로 78 (이매동),경기도 성남시 분당구 이매동,4*
1000000000000000159280,987.0,176.0,제1종근린생활시설,제1종근린생활시설,경기도 성남시 분당구 백현동 472-70번지,경기도 성남시 분당구 대왕판교로 388 (백현동),경기도 성남시 분당구 백현동,4**
1000000000000000159611,2641.0,176.0,제1종근린생활시설,제1종근린생활시설(소매점),경기도 성남시 분당구 백현동 359-1번지,경기도 성남시 분당구 대왕판교로 396 (백현동),경기도 성남시 분당구 백현동,3**
1000000000000000351484,17397.9,49856.4316,판매시설,판매시설(판매시설),경기도 성남시 분당구 정자동 174-1번지,경기도 성남시 분당구 정자일로 121 (정자동),경기도 성남시 분당구 정자동,1**
1000000000000000379358,234.4,305.63,단독주택,단독주택(다가구주택),경기도 성남시 분당구 야탑동 281-4번지,경기도 성남시 분당구 장미로132번길 3-9 (야탑동),경기도 성남시 분당구 야탑동,2**
1000000000000000388551,18884.2,83063.27,숙박시설,"숙박시설(관광호텔,가족호텔)",경기도 성남시 분당구 정자동 4번지,경기도 성남시 분당구 백현로 26 (정자동),경기도 성남시 분당구 정자동,*
1000000000000000388552,18884.2,68.57,숙박시설,휴게시설(정자),경기도 성남시 분당구 정자동 4번지,경기도 성남시 분당구 백현로 26 (정자동),경기도 성남시 분당구 정자동,*
1000000000000000397676,2165.0,840.0,자동차관련시설,정비공장,경기도 성남시 분당구 금곡동 115-2번지,경기도 성남시 분당구 대왕판교로 190 (금곡동),경기도 성남시 분당구 금곡동,1**
1000000000000000458967,637.0,1371.72,교육연구시설,"교육연구시설, 제2종근린생활시설",경기도 성남시 분당구 백현동 546-7번지,경기도 성남시 분당구 동판교로 72 (백현동),경기도 성남시 분당구 백현동,5**
1000000000000000463630,654.0,499.115,단독주택,단독주택,경기도 성남시 분당구 대장동 1-31번지,경기도 성남시 분당구 두밀로123번길 7-2 (대장동),경기도 성남시 분당구 대장동,*
1000000000000000495123,246.1,515.61,단독주택,단독주택(다가구주택),경기도 성남시 분당구 대장동 598-4번지,경기도 성남시 분당구 판교대장로7길 15-2 (대장동),경기도 성남시 분당구 대장동,5**
1000000000000000495160,264.1,323.7311,단독주택,단독주택,경기도 성남시 분당구 판교동 558-1번지,경기도 성남시 분당구 서판교로74번길 16 (판교동),경기도 성남시 분당구 판교동,5**
1000000000000000507914,361.0,343.52,단독주택,단독주택,경기도 성남시 분당구 이매동 41-44번지,경기도 성남시 분당구 방아로69번길 6 (이매동),경기도 성남시 분당구 이매동,4*
1000000000000000517837,1666.0,588.81,제2종근린생활시설,"(일반음식점), 제1종근린생활시설(휴게음식점)",경기도 성남시 분당구 석운동 21-8번지,경기도 성남시 분당구 석운로 302 (석운동),경기도 성남시 분당구 석운동,2*
1000000000000000528134,1696.0,8044.41,자동차관련시설,자동차관련시설,경기도 성남시 분당구 운중동 934번지,경기도 성남시 분당구 운중로138번길 6 (운중동),경기도 성남시 분당구 운중동,9**
1000000000000000549165,11500.9,909.95,교육연구시설,교육연구시설(초등학교),경기도 성남시 분당구 분당동 91번지,경기도 성남시 분당구 장안로51번길 10 (분당동),경기도 성남시 분당구 분당동,9*
1000000000000000549975,7117.0,850.02,문화및집회시설,"문화및집회시설(박물관, 체험관)",경기도 성남시 분당구 분당동 27번지,경기도 성남시 분당구 문정로 40 (분당동),경기도 성남시 분당구 분당동,2*
1000000000000000549976,7117.0,1428.6,문화및집회시설,문화및집회시설(체험관),경기도 성남시 분당구 분당동 27번지,경기도 성남시 분당구 문정로 40 (분당동),경기도 성남시 분당구 분당동,2*
