"계약년월","번호","주택유형","시군구명","번지","도로명","대지면적","연면적","거래금액","건축물대장_PK","건물_도로명_주소","건물_대지_주소","건물_주용도","건물_기타용도","건물_대지면적","건물_연면적","번지매핑건수","도로매핑건수","용도매핑건수","면적매핑건수","매매별일련번호"
"201501",180,다가구,경기도 성남시 분당구 정자동,"2**",불곡남로13번길,213.0000,419.0000,110000.0000,"10891122662",경기도 성남시 분당구 불곡남로13번길 3 (정자동),경기도 성남시 분당구 정자동 223-9번지,단독주택,근린생활시설및다가구,213.0,419.24,384,13,13,1,1
"201501",1354,단독,경기도 성남시 분당구 판교동,"5**",서판교로66번길,265.0000,238.0000,154000.0000,"10891100216344",경기도 성남시 분당구 서판교로66번길 13-5 (판교동),경기도 성남시 분당구 판교동 558-6번지,단독주택,단독주택,265.3,238.3,709,44,44,1,1
"201501",1645,다가구,경기도 성남시 분당구 분당동,"1**",장안로14번길,214.0000,418.0000,125000.0000,"10891123765",경기도 성남시 분당구 장안로14번길 19 (분당동),경기도 성남시 분당구 분당동 154-11번지,단독주택,다가구주택및근린생활시설,214.2,418.16,573,35,33,1,1
"201501",1954,다가구,경기도 성남시 분당구 수내동,"1**",발이봉남로16번길,212.0000,417.0000,89990.0000,"10891125223",경기도 성남시 분당구 발이봉남로16번길 4 (수내동),경기도 성남시 분당구 수내동 102-16번지,단독주택,다가구주택및 근린생활시설,211.8,417.36,246,7,7,1,1
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100216342",경기도 성남시 분당구 궁내로22번길 27-4 (궁내동),경기도 성남시 분당구 궁내동 318-2번지,단독주택,단독주택,589.0,503.94,186,145,44,44,1
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100224983",경기도 성남시 분당구 궁내로 35 (궁내동),경기도 성남시 분당구 궁내동 366-2번지,단독주택,단독주택(다가구주택),467.0,372.32,186,145,44,44,2
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100229278",경기도 성남시 분당구 궁내로7번길 14 (궁내동),경기도 성남시 분당구 궁내동 345-31번지,단독주택,"단독주택(다가구주택),제2종근린생활시설",0.0,820.75,186,145,44,44,3
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100229856",경기도 성남시 분당구 궁내로 74 (궁내동),경기도 성남시 분당구 궁내동 362-3번지,단독주택,단독주택(다가구주택),201.0,232.36,186,145,44,44,4
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100241644",경기도 성남시 분당구 궁내로 34 (궁내동),경기도 성남시 분당구 궁내동 347-24번지,단독주택,단독주택,75.0,42.23,186,145,44,44,5
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100243474",경기도 성남시 분당구 궁내로 26 (궁내동),경기도 성남시 분당구 궁내동 346-9번지,단독주택,단독주택,108.0,107.34,186,145,44,44,6
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100246005",경기도 성남시 분당구 궁내로40번길 15 (궁내동),경기도 성남시 분당구 궁내동 339-2번지,단독주택,다가구주택(2가구),162.0,160.99,186,145,44,44,7
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100263067",경기도 성남시 분당구 궁내로 56 (궁내동),경기도 성남시 분당구 궁내동 350-7번지,단독주택,단독주택,520.0,269.92,186,145,44,44,8
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100268147",경기도 성남시 분당구 궁내로22번길 25 (궁내동),경기도 성남시 분당구 궁내동 317-7번지,단독주택,다가구주택,861.0,858.11,186,145,44,44,9
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100283947",경기도 성남시 분당구 궁내로 73 (궁내동),경기도 성남시 분당구 궁내동 363번지,단독주택,단독주택(다가구주택),353.0,316.269,186,145,44,44,10
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100305188",경기도 성남시 분당구 궁내로22번길 21 (궁내동),경기도 성남시 분당구 궁내동 324번지,단독주택,단독주택(다가구주택),675.0,659.13,186,145,44,44,11
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100306847",경기도 성남시 분당구 궁내로68번길 11 (궁내동),경기도 성남시 분당구 궁내동 362-4번지,단독주택,단독주택(다가구주택),202.0,286.74,186,145,44,44,12
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891100323531",경기도 성남시 분당구 궁내로 45 (궁내동),경기도 성남시 분당구 궁내동 349-7번지,단독주택,단독주택(단독주택),396.0,291.13,186,145,44,44,13
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891120279",경기도 성남시 분당구 궁내로67번길 16 (궁내동),경기도 성남시 분당구 궁내동 360-13번지,단독주택,주택,0.0,72.66,186,145,44,44,14
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891120280",경기도 성남시 분당구 궁내로67번길 14 (궁내동),경기도 성남시 분당구 궁내동 360-13번지,단독주택,주택,1207.0,109.13,186,145,44,44,15
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891121874",경기도 성남시 분당구 궁내로40번길 11 (궁내동),경기도 성남시 분당구 궁내동 334-13번지,단독주택,단독주택(다가구주택3가구),1207.0,659.39,186,145,44,44,16
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891121957",경기도 성남시 분당구 궁내로67번길 11 (궁내동),경기도 성남시 분당구 궁내동 369-21번지,단독주택,다가구주택(3가구),1228.0,659.39,186,145,44,44,17
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891122110",경기도 성남시 분당구 궁내로40번길 11 (궁내동),경기도 성남시 분당구 궁내동 334번지,단독주택,다가구주택(3가구),1248.0,659.39,186,145,44,44,18
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891122541",경기도 성남시 분당구 궁내로 46-7 (궁내동),경기도 성남시 분당구 궁내동 351-1번지,단독주택,단독주택,434.0,253.24,186,145,44,44,19
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891122728",경기도 성남시 분당구 궁내로40번길 11 (궁내동),경기도 성남시 분당구 궁내동 334-1번지,단독주택,단독주택(다가구주택3가구),2116.0,659.39,186,145,44,44,20
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891123180",경기도 성남시 분당구 궁내로 49 (궁내동),경기도 성남시 분당구 궁내동 349-5번지,단독주택,단독주택(다가구주택),742.0,751.76,186,145,44,44,21
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891123758",경기도 성남시 분당구 궁내로67번길 11 (궁내동),경기도 성남시 분당구 궁내동 369-16번지,단독주택,다가구주택(3가구),1228.0,659.39,186,145,44,44,22
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891123783",경기도 성남시 분당구 궁내로67번길 3 (궁내동),경기도 성남시 분당구 궁내동 366-17번지,단독주택,단독주택(1가구),683.0,215.1,186,145,44,44,23
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891123871",경기도 성남시 분당구 궁내로67번길 5 (궁내동),경기도 성남시 분당구 궁내동 366-16번지,단독주택,단독주택(1가구),614.0,292.47,186,145,44,44,24
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891124418",경기도 성남시 분당구 궁내로 64 (궁내동),경기도 성남시 분당구 궁내동 350-21번지,단독주택,주택,0.0,71.16,186,145,44,44,25
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891124526",경기도 성남시 분당구 궁내로 46-9 (궁내동),경기도 성남시 분당구 궁내동 352-4번지,단독주택,주택,0.0,118.79,186,145,44,44,26
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891124559",경기도 성남시 분당구 궁내로40번길 6 (궁내동),경기도 성남시 분당구 궁내동 348-2번지,단독주택,단독주택(2가구),442.0,165.42,186,145,44,44,27
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891124654",경기도 성남시 분당구 궁내로22번길 27-9 (궁내동),경기도 성남시 분당구 궁내동 318-6번지,단독주택,"단독주택(다가구주택 2가구), 제2종근린생활시설",715.0,473.25,186,145,44,44,28
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891124768",경기도 성남시 분당구 궁내로40번길 21 (궁내동),경기도 성남시 분당구 궁내동 340-2번지,단독주택,단독주택,415.0,98.41,186,145,44,44,29
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891124844",경기도 성남시 분당구 궁내로 46 (궁내동),경기도 성남시 분당구 궁내동 350-59번지,단독주택,다가구주택,350.0,279.8,186,145,44,44,30
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891125090",경기도 성남시 분당구 궁내로 25 (궁내동),경기도 성남시 분당구 궁내동 346-7번지,단독주택,단독주택(1가구),266.0,100.57,186,145,44,44,31
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891125348",경기도 성남시 분당구 궁내로40번길 11 (궁내동),경기도 성남시 분당구 궁내동 334-2번지,단독주택,다가구주택(3가구),1130.0,659.39,186,145,44,44,32
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891125439",경기도 성남시 분당구 궁내로40번길 25 (궁내동),경기도 성남시 분당구 궁내동 327-11번지,단독주택,"단독주택, 제1종근린생활시설",242.0,347.41,186,145,44,44,33
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891125596",경기도 성남시 분당구 궁내로67번길 11 (궁내동),경기도 성남시 분당구 궁내동 369-7번지,단독주택,다가구주택(3가구),1170.0,659.39,186,145,44,44,34
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891125639",경기도 성남시 분당구 궁내로67번길 11 (궁내동),경기도 성남시 분당구 궁내동 369-19번지,단독주택,다가구주택(3가구),1248.0,659.39,186,145,44,44,35
"201501",1955,단독,경기도 성남시 분당구 궁내동,"3**",궁내로,489.0000,196.0000,121300.0000,"10891125782",경기도 성남시 분당구 궁내로67번길 18-2 (궁내동),경기도 성남시 분당구 궁내동 360-4번지,단독주택,주택,0.0,27.04,186,145,44,44,36
