"계약년월","번호","유형","시군구명","지번","도로명","대지면적","전용면적","거래금액","건축물대장_PK","건물_도로명_주소","건물_대지_주소","건물_주용도","건물_기타용도","건물_대지면적","건물_연면적","번지매핑건수","도로매핑건수","용도매핑건수","면적매핑건수","매매별일련번호"
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891126982",경기도 성남시 분당구 판교로715번길 11 (야탑동),경기도 성남시 분당구 야탑동 149-3번지,자동차관련시설,"자동차관련시설, 제2종근린생활시설",351.2,133.0,290,97,69,69,1
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891126641",경기도 성남시 분당구 판교로 685 (야탑동),경기도 성남시 분당구 야탑동 152번지,노유자시설,노유자시설(어린이집),3343.1,124.2,290,97,69,69,2
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891126420",경기도 성남시 분당구 판교로715번길 9 (야탑동),경기도 성남시 분당구 야탑동 149-5번지,제2종근린생활시설,제2종근린생활시설,368.7,133.0,290,97,69,69,3
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891126266",경기도 성남시 분당구 판교로743번길 6 (야탑동),경기도 성남시 분당구 야탑동 192-1번지,자동차관련시설,자동차관련시설,694.0,235.8,290,97,69,69,4
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891125901",경기도 성남시 분당구 판교로 715 (야탑동),경기도 성남시 분당구 야탑동 149-10번지,제1종근린생활시설,"제1종근린생활시설, 업무시설, 제2종근린생활시설",636.6,2618.67,290,97,69,69,5
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891125884",경기도 성남시 분당구 판교로 697 (야탑동),경기도 성남시 분당구 야탑동 150번지,제2종근린생활시설,경비실,17323.0,7.83,290,97,69,69,6
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891125570",경기도 성남시 분당구 판교로715번길 5 (야탑동),경기도 성남시 분당구 야탑동 149-7번지,자동차관련시설,"자동차관련시설, 제2종근린생활시설",369.7,507.5,290,97,69,69,7
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891124780",경기도 성남시 분당구 판교로 679 (야탑동),경기도 성남시 분당구 야탑동 154번지,제2종근린생활시설,근린공공시설,712.6,156.6,290,97,69,69,8
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891123968",경기도 성남시 분당구 판교로 744 (야탑동),경기도 성남시 분당구 야탑동 145번지,공동주택,아파트형공장,17746.8,37448.54,290,97,69,69,9
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891123863",경기도 성남시 분당구 판교로 749 (야탑동),경기도 성남시 분당구 야탑동 192-3번지,자동차관련시설,자동차관련시설,1137.1,726.04,290,97,69,69,10
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891123813",경기도 성남시 분당구 판교로711번길 14 (야탑동),경기도 성남시 분당구 야탑동 149-1번지,제2종근린생활시설,제2종근린생활시설 외1용도,715.6,333.77,290,97,69,69,11
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891123556",경기도 성남시 분당구 판교로711번길 10 (야탑동),경기도 성남시 분당구 야탑동 149-4번지,제2종근린생활시설,"제1종근린생활시설, 제2종근린생활시설",371.1,936.08,290,97,69,69,12
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891123181",경기도 성남시 분당구 판교로 697 (야탑동),경기도 성남시 분당구 야탑동 150번지,공장,아파트형공장,17398.7,36676.55,290,97,69,69,13
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891122825",경기도 성남시 분당구 판교로711번길 4 (야탑동),경기도 성남시 분당구 야탑동 149-8번지,제2종근린생활시설,제2종근린생활시설(및 자동차관련시설),357.2,197.35,290,97,69,69,14
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891122355",경기도 성남시 분당구 판교로 747 (야탑동),경기도 성남시 분당구 야탑동 192-2번지,자동차관련시설,자동차관련시설,1619.0,464.53,290,97,69,69,15
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891121924",경기도 성남시 분당구 판교로715번길 3 (야탑동),경기도 성남시 분당구 야탑동 149-9번지,제1종근린생활시설,제1종근린생활시설,351.6,1386.4,290,97,69,69,16
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891120859",경기도 성남시 분당구 판교로 627 (야탑동),경기도 성남시 분당구 야탑동 163번지,제1종근린생활시설,상가,340.25,144.72,290,97,69,69,17
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891120856",경기도 성남시 분당구 판교로 669 (야탑동),경기도 성남시 분당구 야탑동 156번지,공동주택,생활편익시설,14643.0,321.66,290,97,69,69,18
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891120853",경기도 성남시 분당구 판교로743번길 7 (야탑동),경기도 성남시 분당구 야탑동 147번지,공동주택,생활편익시설,0.0,301.885,290,97,69,69,19
"201501",1076,집합,경기도 성남시 분당구 야탑동,"1**",판교로,316.5100,150.3100,31190.0000,"10891120852",경기도 성남시 분당구 판교로743번길 7 (야탑동),경기도 성남시 분당구 야탑동 147번지,공동주택,공동주택(아파트),0.0,4052.0,290,97,69,69,20
